number,value,datetime_start,datetime_complete,duration,params_dim,params_dropout,params_epochs,params_lr,params_max_sampled,params_reg,user_attrs_AUC,user_attrs_Coverage@10,user_attrs_Diversity@10,user_attrs_Recall@10,state
0,0.08677354709418839,2026-06-23 20:38:22.534248,2026-06-23 20:38:25.577085,0 days 00:00:03.042837,24,0.0020584494295802446,4,0.008066708658064161,3,2.937538457632828e-07,0.8843313930380435,0.14429665457476823,0.7439436026833043,0.14056721412805961,COMPLETE
1,0.10681362725450902,2026-06-23 20:38:25.707514,2026-06-23 20:38:32.005089,0 days 00:00:06.297575,16,0.013949386065204183,6,0.008496886737170676,8,8.179499475211665e-07,0.8927061457340757,0.13220475614671504,0.7765850971150459,0.16896693123018924,COMPLETE
2,0.12050768203072813,2026-06-23 20:38:32.139223,2026-06-23 20:38:40.431416,0 days 00:00:08.292193,48,0.006505159298527952,6,0.008763230292428939,5,3.489018845491388e-06,0.9089492869646337,0.25957275292220877,0.7654051819388049,0.1926173262758755,COMPLETE
3,0.10407481629926521,2026-06-23 20:38:40.564712,2026-06-23 20:38:46.296566,0 days 00:00:05.731854,24,0.0909320402078782,6,0.007221445847016088,5,1.1290133559092671e-05,0.897716409569128,0.14913341394598953,0.7645304028381293,0.16784772590445193,COMPLETE
4,0.11730126920507683,2026-06-23 20:38:46.430785,2026-06-23 20:38:53.664215,0 days 00:00:07.233430,24,0.05978999788110852,8,0.016927414478001446,5,3.5856126103453943e-07,0.9020933236812818,0.2914147521160822,0.7871431797294635,0.1885081860442713,COMPLETE
5,0.09478957915831665,2026-06-23 20:38:53.813542,2026-06-23 20:38:56.748170,0 days 00:00:02.934628,16,0.05426960831582485,5,0.0111222781940969,3,1.4656553886225344e-06,0.8936127038797349,0.1600161225312374,0.7580601399639476,0.1497650780468557,COMPLETE
